date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:11	1082/1082	U-----	200	untouched ('')	image/png	etag:%2243a-4d4d4dabfc9c0%22	http://www.closethedoor.org.uk/files/7013/5991/0575/facebook.png	www.closethedoor.org.uk/files/7013/5991/0575/facebook.png	(from http://www.closethedoor.org.uk/)
14:27:11	9438/9438	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:16%20GMT	http://www.closethedoor.org.uk/search/	www.closethedoor.org.uk/search/index.html	(from http://www.closethedoor.org.uk/)
14:27:11	964/964	U-----	200	untouched ('')	image/png	etag:%223c4-4d4d4dade4e40%22	http://www.closethedoor.org.uk/files/4213/5991/0577/twitter.png	www.closethedoor.org.uk/files/4213/5991/0577/twitter.png	(from http://www.closethedoor.org.uk/)
14:27:11	19463/19463	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:16%20GMT	http://www.closethedoor.org.uk/news/	www.closethedoor.org.uk/news/index.html	(from http://www.closethedoor.org.uk/)
14:27:12	55455/55455	U-----	200	untouched ('')	image/png	etag:%22d89f-52cfe85672cc0%22	http://www.closethedoor.org.uk/files/3714/5684/6555/sustainable-cities.png	www.closethedoor.org.uk/files/3714/5684/6555/sustainable-cities.png	(from http://www.closethedoor.org.uk/)
14:27:12	58114/58114	U-----	200	untouched ('')	image/jpeg	etag:%22e302-52cfe674d7c80%22	http://www.closethedoor.org.uk/files/6614/5684/6050/geze-balloon.jpg	www.closethedoor.org.uk/files/6614/5684/6050/geze-balloon.jpg	(from http://www.closethedoor.org.uk/)
14:27:12	9922/9922	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:18%20GMT	http://www.closethedoor.org.uk/news/archive/sustainable-city-awards-2016/	www.closethedoor.org.uk/news/archive/sustainable-city-awards-2016/index.html	(from http://www.closethedoor.org.uk/)
14:27:12	10765/10765	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:18%20GMT	http://www.closethedoor.org.uk/news/archive/round-table-discussion-john-lewis-ms-and-arup/	www.closethedoor.org.uk/news/archive/round-table-discussion-john-lewis-ms-and-arup/index.html	(from http://www.closethedoor.org.uk/)
14:27:13	16159/16159	U-----	200	untouched ('')	image/png	etag:%223f1f-52611e605e9c0%22	http://www.closethedoor.org.uk/files/1914/4923/3199/hm.png	www.closethedoor.org.uk/files/1914/4923/3199/hm.png	(from http://www.closethedoor.org.uk/)
14:27:13	31737/31737	U-----	200	untouched ('')	image/jpeg	etag:%227bf9-511a77b46c740%22	http://www.closethedoor.org.uk/files/4814/2678/5909/air-quality-research.jpg	www.closethedoor.org.uk/files/4814/2678/5909/air-quality-research.jpg	(from http://www.closethedoor.org.uk/)
14:27:13	10514/10514	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:19%20GMT	http://www.closethedoor.org.uk/support/endorsements/archive/dr-ben-barratt/	www.closethedoor.org.uk/support/endorsements/archive/dr-ben-barratt/index.html	(from http://www.closethedoor.org.uk/)
14:27:13	10096/10096	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:19%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/hm/	www.closethedoor.org.uk/support/participating-retailers/archive/hm/index.html	(from http://www.closethedoor.org.uk/)
14:27:16	0/0	U-----	200	untouched ('OK')	text/html	etag:%220-4d021dea9a2c0%22	http://www.closethedoor.org.uk/files/	www.closethedoor.org.uk/files/index.html	(from http://www.closethedoor.org.uk/)
14:27:16	29536/29536	U-----	200	untouched ('')	image/jpeg	etag:%227360-51061570e9980%22	http://www.closethedoor.org.uk/files/4714/2538/5142/home-retail-group.jpg	www.closethedoor.org.uk/files/4714/2538/5142/home-retail-group.jpg	(from http://www.closethedoor.org.uk/)
14:27:16	10000/10000	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:21%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/home-retail-group/	www.closethedoor.org.uk/support/participating-retailers/archive/home-retail-group/index.html	(from http://www.closethedoor.org.uk/)
14:27:18	33146/33146	U-----	200	untouched ('')	image/png	etag:%22817a-50c7b37aabb80%22	http://www.closethedoor.org.uk/files/3414/2109/8238/theguardian.png	www.closethedoor.org.uk/files/3414/2109/8238/theguardian.png	(from http://www.closethedoor.org.uk/)
14:27:19	10802/10802	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:23%20GMT	http://www.closethedoor.org.uk/news/archive/observer-magazine-article/	www.closethedoor.org.uk/news/archive/observer-magazine-article/index.html	(from http://www.closethedoor.org.uk/)
14:27:19	10196/10196	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:24%20GMT	http://www.closethedoor.org.uk/news/archive/retail-environment-magazine-article/	www.closethedoor.org.uk/news/archive/retail-environment-magazine-article/index.html	(from http://www.closethedoor.org.uk/)
14:27:20	45155/45155	U-----	200	untouched ('')	image/jpeg	etag:%22b063-50a98bbb41000%22	http://www.closethedoor.org.uk/files/2614/1902/5984/retail-environment.jpg	www.closethedoor.org.uk/files/2614/1902/5984/retail-environment.jpg	(from http://www.closethedoor.org.uk/)
14:27:21	11105/11105	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:26%20GMT	http://www.closethedoor.org.uk/news/archive/boots-endorses-campaign/	www.closethedoor.org.uk/news/archive/boots-endorses-campaign/index.html	(from http://www.closethedoor.org.uk/)
14:27:22	34652/34652	U-----	200	untouched ('')	image/png	etag:%22875c-4fafb90af8580%22	http://www.closethedoor.org.uk/files/4114/0185/8278/boots.png	www.closethedoor.org.uk/files/4114/0185/8278/boots.png	(from http://www.closethedoor.org.uk/)
14:27:23	10001/10001	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:28%20GMT	http://www.closethedoor.org.uk/news/archive/bbc1-inside-out-east/	www.closethedoor.org.uk/news/archive/bbc1-inside-out-east/index.html	(from http://www.closethedoor.org.uk/)
14:27:24	11529/11529	U-----	200	untouched ('')	image/jpeg	etag:%222d09-4d64b4546c600%22	http://www.closethedoor.org.uk/files/7713/6151/8680/inside-out.jpg	www.closethedoor.org.uk/files/7713/6151/8680/inside-out.jpg	(from http://www.closethedoor.org.uk/)
14:27:25	2133/2133	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2021:29:29%20GMT	http://www.closethedoor.org.uk//index.php?cID=167	www.closethedoor.org.uk/index683c.php	(from http://www.closethedoor.org.uk/support/participating-retailers/)
14:27:26	12487/12487	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:30%20GMT	http://www.closethedoor.org.uk/news/archive/radio-4-world-weekend-cover-campaign/	www.closethedoor.org.uk/news/archive/radio-4-world-weekend-cover-campaign/index.html	(from http://www.closethedoor.org.uk/)
14:27:27	8787/8787	U-----	200	untouched ('')	image/gif	etag:%222253-530244e2bc300%22	http://www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/images/ajax-loader.gif	www.closethedoor.org.uk/packages/jb_smooth/blocks/jb_smooth/images/ajax-loader.gif	(from http://www.closethedoor.org.uk/)
14:27:27	31491/31491	U-----	200	untouched ('')	image/png	etag:%227b03-4f0583c0b3b80%22	http://www.closethedoor.org.uk/files/4813/9016/1662/r4_logo.png	www.closethedoor.org.uk/files/4813/9016/1662/r4_logo.png	(from http://www.closethedoor.org.uk/)
14:27:28	2947/2947	U-----	200	untouched ('')	image/jpeg	etag:%22b83-53dd03b3abb2f%22	http://www.closethedoor.org.uk/files/cache/39a9a2521e7014c4ff1ada1aa73ffb82.jpg	www.closethedoor.org.uk/files/cache/39a9a2521e7014c4ff1ada1aa73ffb82.jpg	(from http://www.closethedoor.org.uk/)
14:27:28	10423/10423	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2028%20Jul%202023%2021:29:32%20GMT	http://www.closethedoor.org.uk/support/participating-retailers/archive/marks-and-spencer/	www.closethedoor.org.uk/support/participating-retailers/archive/marks-and-spencer/index.html	(from http://www.closethedoor.org.uk/)
